study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score
11,97,4,1,1,82,100.0
10,98,4,2,6,66,100.0
5,71,7,4,8,81,100.0
7,93,5,10,1,80,94.54
5,55,5,3,2,75,61.97
1,45,9,2,5,57,64.94
6,50,4,5,0,48,63.55
10,68,8,7,15,81,100.0
3,54,9,8,4,90,79.3
6,60,9,9,5,81,90.24
7,53,5,6,19,72,95.51
11,44,7,10,3,54,89.14
9,41,9,9,2,75,86.67
9,54,8,10,9,41,83.14
11,60,7,7,0,75,97.09
10,100,4,11,0,39,75.42
10,79,4,2,7,70,100.0
5,92,8,1,12,64,100.0
4,45,4,7,6,45,60.84
3,78,6,8,14,54,69.43
6,57,8,1,13,74,94.97
1,94,5,10,20,58,70.78
4,79,8,1,13,36,85.26
4,51,6,9,7,45,55.06
6,41,7,10,9,82,83.58
2,68,6,7,9,51,85.32
5,53,8,7,11,63,64.42
10,75,4,3,3,76,82.01
4,95,5,5,10,53,94.72
10,56,9,10,3,60,95.5
1,70,8,9,5,93,66.67
11,67,9,5,9,72,100.0
7,83,8,5,13,69,100.0
8,83,4,10,18,89,100.0
6,42,7,2,20,43,100.0
1,79,8,7,4,82,65.9
1,91,5,4,19,86,100.0
1,42,6,1,7,58,60.37
1,46,7,11,12,58,64.89
4,47,8,11,17,76,99.87
9,89,8,7,1,77,87.42
6,87,7,3,9,59,95.19
5,40,4,2,0,85,77.56
2,41,9,2,10,63,62.31
2,51,4,3,1,85,52.05
8,61,9,8,9,45,99.93
10,84,7,4,16,62,100.0
6,69,8,1,11,42,80.48
3,44,7,7,17,87,86.63
8,43,9,11,6,44,71.36
10,83,9,8,10,76,100.0
7,88,4,3,16,90,100.0
2,78,8,6,4,39,62.42
6,40,6,10,7,50,61.9
7,92,9,11,19,75,100.0
6,57,5,2,17,60,100.0
8,42,8,4,4,92,100.0
8,93,6,7,4,37,76.75
7,46,4,11,6,39,54.24
5,48,6,4,7,47,75.35
1,49,8,5,17,72,82.79
4,91,7,4,13,62,96.0
11,69,8,5,18,45,100.0
11,53,5,5,12,37,100.0
3,43,6,6,19,91,96.98
8,91,8,9,7,60,100.0
3,74,7,8,16,91,100.0
1,47,7,6,5,88,68.08
11,94,9,7,5,84,100.0
9,68,5,5,0,56,76.77
4,48,5,6,17,95,100.0
6,94,9,3,12,94,100.0
10,100,7,10,15,53,100.0
10,75,6,8,18,80,100.0
1,69,9,1,9,48,94.59
7,97,4,1,5,35,86.85
11,60,7,3,8,42,81.64
6,71,6,10,1,44,63.29
1,46,8,7,17,73,67.08
1,63,4,11,8,50,46.59
2,84,6,11,12,80,62.98
10,89,8,11,15,71,100.0
10,60,7,7,15,47,98.58
10,88,4,5,9,70,100.0
11,76,5,10,12,68,100.0
7,84,7,5,5,93,93.84
4,96,8,4,8,95,100.0
5,49,5,7,7,81,63.93
3,91,4,5,0,54,66.01
3,54,6,2,9,53,74.31
6,75,9,10,5,73,71.42
7,72,9,10,18,39,96.88
10,86,7,5,16,59,100.0
6,87,8,3,13,79,100.0
2,74,5,1,20,52,100.0
1,61,7,8,8,46,46.84
4,76,6,5,14,62,98.2
4,100,4,5,3,35,72.93
10,49,9,1,7,73,100.0
4,68,7,2,0,95,89.13
4,92,8,4,14,86,100.0
7,83,6,10,8,48,88.9
3,78,8,6,12,41,74.62
11,94,8,11,1,94,100.0
7,75,9,11,15,87,100.0
10,55,8,2,3,83,100.0
9,83,9,2,3,72,100.0
9,40,6,5,14,51,82.27
7,45,7,5,8,47,89.15
5,85,9,3,16,65,100.0
2,75,7,10,19,94,100.0
3,78,4,6,4,58,64.44
2,69,5,7,0,73,54.69
10,90,6,7,11,88,100.0
2,87,4,2,16,50,85.91
2,45,4,3,15,43,63.1
1,88,4,10,13,80,76.67
10,55,9,7,7,67,100.0
9,71,8,1,9,88,100.0
11,87,6,7,12,89,100.0
7,64,7,5,8,78,92.16
9,99,7,7,14,52,100.0
11,78,8,8,5,83,100.0
4,42,9,5,3,85,88.76
8,41,9,1,18,49,100.0
11,75,6,2,15,60,100.0
10,52,5,6,16,66,100.0
2,42,6,4,19,77,100.0
9,70,8,3,13,36,93.8
1,43,7,8,15,49,55.04
5,60,7,1,7,56,61.5
1,69,7,3,14,52,88.84
3,80,9,8,9,82,89.39
1,100,6,10,17,76,97.99
7,53,9,1,0,78,86.21
5,54,9,1,8,62,91.47
11,73,8,8,19,38,100.0
7,46,4,9,8,62,79.63
5,94,9,6,18,48,98.22
11,80,4,5,11,56,100.0
9,62,5,10,0,69,76.9
8,70,7,4,19,38,100.0
4,62,6,10,9,56,90.99
10,67,7,11,10,87,100.0
4,60,6,10,3,89,73.24
4,81,5,1,10,78,90.46
3,52,5,1,6,90,85.97
11,52,4,9,12,83,100.0
2,91,6,11,12,87,77.23
8,42,5,5,0,76,72.83
6,100,5,8,5,73,92.49
11,91,9,10,2,45,100.0
4,86,7,3,6,67,62.64
10,77,9,1,10,68,100.0
5,51,4,5,1,78,71.38
2,84,9,8,11,57,88.44
4,64,7,11,10,88,88.1
10,73,5,3,16,71,100.0
8,51,7,9,4,35,81.66
3,55,4,5,4,50,68.24
2,99,9,1,0,79,70.16
2,44,7,4,15,53,69.22
6,92,6,5,11,47,99.07
4,85,4,2,7,70,88.54
9,87,7,8,20,51,100.0
1,56,5,10,3,83,47.47
7,85,4,11,2,69,75.39
1,72,8,10,16,80,94.65
4,40,8,1,5,59,71.13
10,53,4,2,13,69,100.0
9,71,5,8,13,55,96.57
2,55,4,3,13,85,86.25
1,83,7,11,11,89,98.28
9,73,8,3,19,63,100.0
4,68,4,7,5,72,72.05
6,91,6,8,12,47,97.0
2,58,9,9,0,57,44.18
8,58,9,6,5,43,83.85
8,81,9,2,6,54,100.0
1,43,5,1,9,49,45.41
3,96,9,7,11,68,74.26
2,53,4,4,13,78,73.76
10,71,6,10,5,91,100.0
2,100,4,6,17,41,74.81
9,62,6,10,10,56,94.99
11,76,7,7,7,42,100.0
3,100,5,8,6,57,67.2
11,72,6,2,10,64,100.0
11,86,9,2,15,84,100.0
3,63,7,1,4,45,74.29
1,95,8,1,0,45,63.9
6,45,6,1,17,56,87.0
3,77,6,11,18,95,90.34
3,41,8,6,17,74,98.65
7,84,9,1,6,81,100.0
4,52,6,7,6,77,77.41
1,57,6,6,18,85,83.01
9,44,7,2,18,64,100.0
9,80,5,7,17,53,100.0
1,72,8,9,20,89,89.79
11,79,5,8,18,47,100.0
9,58,8,6,20,95,100.0
4,71,4,8,20,52,87.84
6,48,8,1,19,66,100.0
7,74,5,9,15,54,99.71
10,53,5,2,5,48,62.94
3,40,7,2,0,49,55.21
11,96,4,8,5,44,87.59
3,68,9,3,18,54,100.0
9,53,9,10,7,74,100.0
11,66,5,2,14,67,100.0
6,63,5,5,14,93,100.0
10,79,8,8,7,56,100.0
8,58,5,6,16,62,100.0
5,68,8,6,2,88,72.69
8,84,5,3,17,54,99.46
3,68,6,11,5,67,61.4
5,45,9,11,18,53,100.0
9,53,5,11,9,36,66.42
11,67,4,1,6,84,100.0
4,82,6,9,12,43,85.92
3,100,7,11,12,74,72.2
5,46,5,11,13,43,81.88
1,72,4,5,7,51,56.56
7,74,5,5,15,61,100.0
2,90,9,11,10,40,82.49
5,41,9,4,7,79,90.4
5,57,4,6,14,77,88.32
8,40,6,3,18,93,89.76
4,48,5,2,7,66,72.48
7,41,8,10,4,66,62.83
4,64,8,10,3,79,86.57
10,93,9,11,15,85,100.0
9,45,7,5,10,69,97.89
1,68,5,11,19,52,84.46
4,89,9,9,19,44,87.79
2,71,7,2,7,55,68.29
4,70,4,10,0,42,61.08
7,50,7,5,1,44,61.9
1,85,4,1,6,69,64.38
1,71,8,8,2,89,75.51
4,46,4,5,13,65,69.89
6,87,7,8,11,87,99.73
11,64,4,4,20,40,100.0
2,51,9,1,3,95,75.72
11,87,7,3,10,89,100.0
11,85,5,5,5,87,100.0
11,87,5,1,4,56,100.0
3,79,5,9,4,88,82.07
1,65,7,11,2,72,50.9
4,60,5,3,15,35,69.76
2,53,4,7,14,67,62.84
8,42,8,3,11,82,82.73
5,63,9,2,15,39,96.9
4,94,5,7,8,82,100.0
5,76,8,11,15,55,88.56
5,61,6,3,0,80,73.03
4,66,7,9,14,78,87.73
8,44,5,6,19,87,100.0
11,52,5,4,12,67,100.0
7,76,6,8,1,81,80.59
8,44,6,2,1,54,85.12
6,60,9,1,14,60,98.49
7,45,9,8,7,52,60.52
2,84,4,4,11,92,93.25
10,93,4,11,8,48,84.98
8,62,4,5,12,70,100.0
10,74,4,8,18,55,100.0
7,87,4,7,1,91,93.8
1,73,5,5,20,57,83.17
7,96,6,11,8,43,88.16
8,91,9,9,14,56,100.0
6,67,6,5,2,53,76.92
11,65,9,6,5,58,89.34
11,45,4,10,18,43,100.0
7,94,4,4,10,49,79.2
9,92,5,4,10,79,100.0
9,94,7,1,13,75,100.0
5,64,5,10,16,80,78.96
11,44,9,8,9,37,91.2
5,75,4,8,19,54,95.98
11,62,5,3,0,62,98.76
7,61,5,1,3,43,71.68
6,85,6,5,16,56,100.0
4,93,4,5,5,77,84.69
1,43,4,1,17,50,67.23
6,63,4,4,16,78,92.93
7,93,6,5,16,76,100.0
6,49,4,11,5,65,71.68
5,55,5,2,10,56,74.45
7,40,8,1,5,71,86.01
8,60,8,2,2,57,71.83
7,49,7,4,0,58,70.13
8,82,8,4,7,92,100.0
8,87,8,10,13,63,99.74
2,100,7,2,6,46,64.58
6,59,5,7,15,37,86.22
4,65,4,9,19,73,94.25
4,43,9,6,9,73,76.41
2,57,5,7,19,73,79.8
2,62,6,2,9,36,43.56
1,76,6,11,9,78,61.45
4,76,8,10,6,62,83.91
10,75,7,10,7,39,100.0
9,52,5,8,16,81,100.0
6,44,7,3,1,60,60.82
9,56,7,5,2,41,98.61
8,69,8,2,12,59,100.0
5,60,4,4,10,37,85.65
4,99,8,5,5,44,79.92
5,79,4,5,12,86,100.0
6,44,6,10,13,75,96.01
2,53,7,8,1,73,63.07
8,51,8,5,10,56,100.0
8,60,4,2,8,48,79.12
1,78,4,8,4,54,56.37
3,71,9,8,5,54,66.92
9,100,5,11,2,63,100.0
1,87,7,4,14,81,98.96
6,44,6,6,0,50,56.7
3,64,8,3,12,82,92.02
5,95,5,6,6,91,100.0
9,72,4,3,1,74,82.49
3,75,9,1,2,47,83.74
4,83,6,10,12,83,99.32
2,80,7,5,0,69,74.18
7,47,7,7,9,90,96.62
1,82,6,3,19,82,100.0
4,93,9,7,10,81,98.06
8,100,7,11,10,75,100.0
4,62,4,4,4,73,90.87
4,57,9,3,0,92,72.81
1,89,6,9,6,48,64.15
9,72,8,10,13,60,100.0
5,52,8,5,17,85,100.0
10,51,5,8,20,65,100.0
1,77,7,11,11,44,55.36
7,92,8,3,12,87,100.0
5,75,9,3,6,43,78.53
10,76,5,11,17,57,96.3
4,67,4,4,13,58,75.45
4,74,5,1,8,52,88.48
9,89,9,10,6,83,100.0
8,91,7,3,7,73,100.0
6,55,8,9,20,55,100.0
2,54,8,5,11,51,87.8
8,66,8,5,18,54,92.18
7,55,8,11,7,86,80.82
8,93,4,8,6,47,100.0
6,66,5,8,6,43,79.66
10,51,8,6,9,44,96.83
2,40,5,2,15,88,83.87
7,43,4,8,5,72,74.94
1,62,9,6,12,45,85.26
1,92,5,9,12,55,65.52
4,52,6,9,17,40,69.24
11,93,6,8,17,84,100.0
5,90,6,11,6,84,100.0
5,67,5,6,8,80,72.44
4,62,7,6,15,89,95.41
2,75,4,3,1,64,53.83
10,52,4,2,8,57,87.56
6,54,9,10,5,87,76.5
3,73,4,1,4,58,90.39
7,88,8,4,10,63,100.0
8,99,9,11,16,72,100.0
3,97,8,11,6,91,92.19
5,96,4,5,19,78,100.0
10,48,4,8,19,93,100.0
9,70,8,1,4,57,100.0
4,61,4,9,6,49,66.58
2,60,4,4,18,82,100.0
7,59,9,8,4,65,90.26
4,55,5,1,4,70,83.19
5,83,9,5,3,45,85.37
5,57,4,7,20,62,81.79
5,62,8,5,7,79,100.0
2,74,7,11,18,62,82.45
6,75,5,3,20,50,100.0
4,52,5,9,12,84,77.96
2,49,6,11,9,85,67.38
10,62,8,4,5,84,100.0
4,62,7,6,18,86,93.11
6,44,9,3,12,79,94.41
1,85,7,11,5,83,91.83
4,76,8,10,19,51,90.87
8,91,4,7,7,39,83.68
3,53,7,11,20,89,82.65
3,74,9,10,4,93,61.0
2,75,8,3,17,66,100.0
7,60,6,7,3,62,73.99
7,48,9,6,11,48,70.7
5,93,9,4,12,68,100.0
3,54,5,6,18,72,75.55
11,44,6,7,13,74,100.0
6,54,6,2,20,64,100.0
6,56,8,8,19,91,100.0
5,54,9,5,7,88,100.0
6,55,5,3,6,55,83.91
5,69,9,6,13,45,80.54
5,98,4,11,20,79,100.0
11,88,6,1,8,57,100.0
9,52,7,8,3,60,98.63
5,65,4,4,12,68,91.12
4,42,8,1,13,89,100.0
9,75,9,10,17,39,100.0
2,67,8,4,7,55,76.0
10,64,5,11,14,35,99.12
11,70,8,9,7,61,100.0
10,80,5,5,4,40,98.69
7,81,9,9,16,81,100.0
3,58,4,7,11,53,67.09
4,52,7,5,15,67,91.54
10,88,5,7,8,58,83.27
7,43,7,9,20,83,100.0
7,88,8,8,8,35,100.0
4,54,9,8,0,52,72.9
1,87,4,5,2,77,71.68
4,78,6,4,11,86,100.0
2,99,7,2,0,51,88.04
1,57,7,4,7,72,66.74
2,83,8,4,16,91,99.47
4,49,6,11,7,82,59.87
3,93,6,6,11,92,98.48
7,89,6,6,2,83,99.15
6,47,9,3,1,80,97.51
8,64,7,5,0,95,81.41
8,57,6,7,5,92,93.95
2,43,6,3,16,65,73.59
8,70,7,7,2,58,82.97
1,100,4,10,15,58,71.34
1,57,7,2,9,40,56.19
5,72,4,2,2,84,98.35
7,45,4,5,16,45,66.53
4,77,4,2,7,55,69.92
4,63,6,11,2,44,60.34
9,51,8,7,7,58,88.95
10,46,9,10,17,70,100.0
3,99,4,5,0,67,71.69
2,61,5,11,7,71,65.35
6,64,4,3,15,62,100.0
10,87,5,1,19,53,100.0
8,40,7,1,15,51,100.0
11,58,6,10,6,42,84.11
2,59,4,9,19,82,76.43
8,63,4,10,11,72,88.7
10,71,7,10,7,81,100.0
11,72,4,3,7,90,100.0
6,84,6,5,20,35,100.0
5,47,4,4,19,80,100.0
4,61,6,2,13,77,93.9
8,46,4,2,12,37,85.41
1,45,4,5,4,61,46.82
8,55,6,9,4,90,88.14
4,42,7,9,5,76,67.52
8,66,4,7,3,53,71.04
6,63,7,5,18,57,91.67
7,81,4,8,1,55,62.08
5,98,7,8,19,79,100.0
6,79,8,8,14,88,100.0
9,49,6,4,20,41,100.0
9,81,7,7,5,74,100.0
3,87,6,3,19,88,100.0
3,83,9,10,15,47,73.97
2,92,5,5,1,82,75.39
5,40,8,4,12,73,92.33
11,52,9,3,2,61,88.56
10,78,9,1,12,90,100.0
4,73,4,10,3,70,63.69
11,96,6,1,11,58,100.0
3,66,4,4,13,87,97.4
11,86,7,4,13,89,100.0
11,65,8,9,9,55,100.0
10,81,8,4,14,70,100.0
3,74,9,2,9,48,63.4
9,56,8,5,1,63,100.0
5,73,7,2,14,66,100.0
6,89,5,10,15,77,94.28
10,48,8,11,19,56,100.0
4,49,4,2,15,74,73.26
11,90,8,2,18,56,100.0
10,54,4,8,0,39,71.92
3,84,5,10,13,64,87.94
10,46,4,11,4,42,81.94
5,47,5,10,19,81,99.41
9,61,9,10,20,90,100.0
10,81,4,8,15,40,100.0
3,55,6,10,3,76,82.15
3,58,8,4,12,43,84.9
1,91,7,10,14,74,78.91
9,99,6,8,19,66,100.0
8,46,7,4,9,55,96.57
3,63,9,5,1,74,75.43
6,41,4,4,7,46,79.86
2,63,9,4,3,86,75.6
7,89,9,6,13,70,100.0
7,98,4,11,1,86,88.7
9,93,5,11,3,88,100.0
1,58,9,5,16,52,81.04
3,67,9,8,5,37,51.64
10,62,7,9,19,64,100.0
5,51,5,4,0,63,67.29
6,42,8,5,12,61,91.77
9,68,9,9,7,80,95.01
2,96,6,9,20,93,93.77
4,52,9,6,12,46,67.36
4,56,4,5,9,91,100.0
10,51,8,1,8,57,99.49
4,84,5,2,4,57,76.38
1,76,4,9,15,53,62.9
3,61,7,8,10,58,58.43
1,88,5,4,20,49,85.74
7,67,7,8,16,52,78.95
11,83,4,5,12,39,100.0
5,83,7,5,20,76,100.0
4,92,8,1,12,59,98.89
7,92,7,10,10,70,80.86
1,83,4,3,18,90,100.0
2,89,7,1,14,79,96.11
8,66,4,4,17,43,100.0
4,78,6,2,10,67,95.0
3,100,9,2,4,43,91.31
1,73,7,8,0,44,49.46
6,54,6,5,2,72,84.73
5,49,6,2,17,52,91.64
5,100,6,9,10,68,100.0
7,85,5,7,17,43,97.12
9,62,6,4,8,60,100.0
10,42,5,1,9,63,94.18
7,54,6,5,0,76,77.33
10,44,8,1,8,71,100.0
9,74,8,8,13,74,100.0
9,100,6,6,5,80,95.81
6,71,7,9,5,65,70.43
6,44,4,1,17,35,85.98
11,67,5,5,19,36,100.0
10,71,5,11,4,53,90.43
10,43,8,6,10,40,95.16
8,56,5,9,1,45,64.9
8,85,6,11,9,50,80.14
10,41,5,1,15,83,100.0
8,86,6,3,12,76,100.0
5,62,8,10,0,77,64.3
5,54,4,5,7,68,76.2
6,95,9,2,8,38,94.64
8,92,6,5,2,39,75.52
7,53,7,4,0,90,87.85
6,48,7,3,2,49,61.92
7,47,6,5,3,44,69.72
3,60,4,1,6,76,78.53
8,46,5,5,15,83,100.0
3,59,7,4,1,36,63.45
3,47,9,8,15,77,99.55
3,57,7,10,11,91,85.3
3,77,5,7,1,67,75.45
8,92,8,8,7,79,100.0
4,70,4,4,17,68,100.0
2,95,6,5,20,94,96.73
9,51,6,11,18,92,100.0
9,71,5,5,16,43,100.0
4,83,8,4,16,74,100.0
3,51,6,5,8,68,81.75
5,54,9,8,17,40,76.29
8,43,5,4,14,40,76.18
8,62,9,10,17,70,100.0
10,78,6,5,12,43,91.51
7,70,5,2,7,61,91.93
11,85,8,3,6,78,100.0
11,81,6,7,12,83,100.0
2,97,4,11,7,95,85.01
8,96,6,6,19,79,100.0
9,99,9,8,3,61,100.0
9,46,5,10,18,45,100.0
10,68,7,2,5,94,100.0
1,59,6,3,7,37,50.86
5,72,4,11,9,53,72.34
4,99,4,5,2,41,82.64
4,81,7,9,7,46,65.36
9,92,4,2,8,56,98.84
8,66,8,11,14,39,64.88
2,93,4,10,19,43,61.69
1,41,5,7,19,47,48.96
3,72,9,11,17,60,86.01
10,55,9,8,10,55,98.05
6,97,7,3,4,87,100.0
8,65,8,7,18,70,100.0
2,43,5,9,20,69,67.15
9,54,7,1,16,85,100.0
3,49,8,6,6,73,71.68
3,81,6,2,5,66,92.29
1,95,7,4,19,39,100.0
4,88,9,6,17,49,88.31
10,70,8,4,9,50,90.83
4,77,6,6,15,54,100.0
10,72,9,4,4,40,97.31
9,71,4,2,17,46,84.23
3,94,6,4,9,41,93.83
3,95,4,1,17,35,80.92
1,86,5,5,0,73,73.85
3,75,9,1,1,73,86.61
9,91,7,2,20,87,100.0
1,65,6,7,11,37,61.08
7,95,7,11,8,86,100.0
2,66,6,5,20,69,90.26
7,85,8,7,20,65,100.0
6,56,8,7,13,64,97.25
8,43,6,10,10,94,91.09
1,99,4,3,9,55,74.04
7,91,7,5,8,85,100.0
9,65,8,11,14,72,100.0
4,84,7,9,15,95,90.46
8,55,9,3,19,74,100.0
3,57,6,4,6,42,63.35
10,60,6,3,11,82,100.0
8,78,8,5,19,68,100.0
2,41,4,7,17,46,63.44
1,80,6,6,20,86,96.29
9,98,8,7,8,40,100.0
2,71,6,5,11,69,94.82
5,93,7,6,9,59,74.86
3,98,5,10,14,73,87.59
4,51,9,9,20,43,85.14
3,85,7,4,17,64,100.0
10,46,5,5,8,90,99.83
10,89,5,9,4,83,100.0
7,42,5,4,18,84,100.0
10,47,9,1,14,80,100.0
6,72,8,5,10,41,91.57
1,52,9,4,5,75,75.59
9,47,4,10,14,49,71.37
7,54,9,1,5,49,79.96
3,76,9,5,11,70,96.35
6,82,4,10,14,79,91.73
6,72,8,11,8,81,98.71
4,81,7,3,14,95,100.0
5,44,7,2,19,80,100.0
6,72,5,8,14,36,86.4
9,59,4,11,0,38,78.99
7,83,4,9,8,52,94.73
2,93,6,11,15,60,83.76
9,69,5,4,12,36,97.66
3,56,9,7,14,89,100.0
6,58,7,10,15,81,100.0
1,92,5,6,15,52,69.82
10,80,9,11,5,89,100.0
6,56,4,6,7,64,68.44
